01000,5031864
01001,58915
01003,233227
01005,24969
01007,22188
01009,59107
01011,10229
01013,19025
01015,116243
01017,34651
01019,24969
01021,45057
01023,12626
01025,22987
01027,14212
01029,15064
01031,53549
01033,57304
01035,11554
01037,10335
01039,37506
01041,13163
01043,88136
01045,49257
01047,38171
01049,71659
01051,87861
01053,36685
01055,103453
01057,16331
01059,32078
01061,26698
01063,7700
01065,14772
01067,17169
01069,107284
01071,52545
01073,674717
01075,13953
01077,94025
01079,33089
01081,174754
01083,104203
01085,10285
01087,19464
01089,390503
01091,19270
01093,29176
01095,97702
01097,414377
01099,19706
01101,228342
01103,123288
01105,8458
01107,18969
01109,32900
01111,22086
01113,59258
01115,91657
01117,223912
01119,12191
01121,81575
01123,41284
01125,231547
01127,65138
01129,15329
01131,10534
01133,23493
02000,732964
02013,3427
02016,5214
02020,290893
02050,18661
02060,830
02063,7080
02066,2614
02068,1614
02070,4838
02090,95337
02100,2084
02105,2358
02110,32209
02122,58942
02130,13915
02150,13047
02158,8371
02164,1450
02170,107504
02180,10029
02185,11004
02188,7797
02195,3403
02198,5741
02220,8426
02230,1238
02240,6821
02275,2126
02282,682
02290,5309
04000,7186683
04001,65913
04003,125527
04005,145192
04007,53351
04009,38646
04011,9528
04012,16569
04013,4445059
04015,214185
04017,106763
04019,1045175
04021,430187
04023,47712
04025,237217
04027,205659
05000,3014348
05001,17107
05003,18957
05005,41686
05007,286618
05009,37381
05011,10495
05013,4736
05015,28240
05017,10156
05019,21385
05021,14529
05023,24704
05025,7552
05027,22744
05029,20730
05031,111619
05033,60142
05035,48076
05037,16795
05039,6444
05041,11324
05043,17313
05045,123820
05047,17139
05049,12054
05051,100258
05053,18018
05055,45864
05057,19989
05059,33075
05061,12757
05063,37940
05065,13602
05067,16761
05069,66830
05071,25724
05073,6293
05075,16218
05077,8526
05079,12890
05081,11974
05083,21100
05085,74055
05087,16545
05089,16873
05091,42588
05093,40538
05095,6776
05097,8485
05099,8284
05101,7196
05103,22615
05105,9997
05107,16440
05109,10162
05111,22954
05113,19177
05115,63410
05117,8249
05119,399274
05121,18595
05123,23021
05125,123826
05127,9834
05129,7840
05131,127808
05133,15778
05135,17314
05137,12349
05139,38931
05141,15799
05143,246774
05145,76860
05147,6224
05149,20212
06000,39503200
06001,1680466
06003,1205
06005,40525
06007,210151
06009,45348
06011,21864
06013,1166069
06015,27604
06017,191245
06019,1009552
06021,28904
06023,136262
06025,179612
06027,18987
06029,905910
06031,152844
06033,68199
06035,32315
06037,9992813
06039,156345
06041,261306
06043,17119
06045,91367
06047,281830
06049,8681
06051,13228
06053,438322
06055,137459
06057,102265
06059,3185734
06061,405927
06063,19746
06065,2422993
06067,1586566
06069,64530
06071,2183391
06073,3295298
06075,870518
06077,780617
06079,281884
06081,762479
06083,448424
06085,1931168
06087,270474
06089,182002
06091,3225
06093,43995
06095,452723
06097,488282
06099,553257
06101,99479
06103,65687
06105,16091
06107,473914
06109,55379
06111,843371
06113,216291
06115,81958
08000,5785219
08001,520500
08003,16377
08005,655272
08007,13424
08009,3480
08011,5473
08013,330938
08014,74490
08015,19484
08017,1746
08019,9393
08021,7451
08023,3502
08025,5688
08027,4723
08029,31056
08031,717606
08033,2331
08035,360323
08037,55657
08039,26216
08041,732384
08043,48878
08045,61794
08047,5820
08049,15747
08051,16950
08053,788
08055,6827
08057,1379
08059,583081
08061,1455
08063,7062
08065,7408
08067,55673
08069,359923
08071,14490
08073,5662
08075,21210
08077,156011
08079,874
08081,13269
08083,25887
08085,42818
08087,29076
08089,18664
08091,4882
08093,17418
08095,4527
08097,17355
08099,12017
08101,168337
08103,6520
08105,11541
08107,24832
08109,6389
08111,711
08113,8054
08115,2389
08117,31001
08119,24744
08121,4813
08123,331458
08125,9971
09000,3577586
09110,962436
09120,324387
09130,173268
09140,449285
09150,95222
09160,112202
09170,564076
09180,278342
09190,618368
10000,991862
10001,182315
10003,570918
10005,238629
11000,670839
11001,670839
12000,21591299
12001,279737
12003,28116
12005,174525
12007,28222
12009,608775
12011,1943398
12013,13707
12015,187995
12017,154568
12019,218951
12021,377310
12023,69740
12027,34086
12029,16687
12031,997784
12033,322568
12035,116028
12037,12468
12039,43411
12041,17882
12043,12078
12045,14259
12047,13729
12049,25339
12051,39723
12053,195624
12055,101349
12057,1466255
12059,19578
12061,160446
12063,47096
12065,14399
12067,8218
12069,386216
12071,765547
12073,293955
12075,43059
12077,7804
12079,17869
12081,401619
12083,377472
12085,158671
12086,2695685
12087,82847
12089,91031
12091,212085
12093,39652
12095,1431679
12097,391141
12099,1494282
12101,566156
12103,959793
12105,730158
12107,73372
12109,277099
12111,331441
12113,189011
12115,436237
12117,471455
12119,130290
12121,43524
12123,21743
12125,15425
12127,555776
12129,33893
12131,75941
12133,25320
13000,10732390
13001,18376
13003,8308
13005,11112
13007,2852
13009,43790
13011,18081
13013,83981
13015,109314
13017,17168
13019,18144
13021,157035
13023,12523
13025,18044
13027,16272
13029,45043
